order_id,product_id,origin_warehouse,destination_city,order_date,ship_mode,carrier,weight_kg,distance_km,expected_delay_days
100000,P052,Rouen,Bordeaux,2024-11-23,Standard,GLS,2.98,983,4
100001,P093,Nantes,Nice,2025-06-16,Express,Colissimo,12.82,724,3
100002,P015,Rouen,Marseille,2024-08-07,Standard,DHL,14.11,392,4
100003,P072,Rouen,Paris,2024-12-18,Express,Chronopost,12.38,380,2
100004,P061,Paris,Lyon,2025-03-30,Express,DHL,18.77,373,2
100005,P021,Strasbourg,Lyon,2025-05-04,Express,Chronopost,11.13,408,3
100006,P083,Rouen,Bordeaux,2025-05-10,Express,Chronopost,18.11,695,5
100007,P087,Strasbourg,Paris,2025-02-21,Standard,Colissimo,5.32,335,2
100008,P075,Paris,Bordeaux,2025-06-17,Express,DHL,10.79,312,1
100009,P075,Strasbourg,Marseille,2025-06-11,Standard,GLS,7.36,909,5
100010,P088,Nantes,Marseille,2025-05-13,Express,Chronopost,7.93,187,2
100011,P100,Nantes,Toulouse,2024-09-30,Standard,Chronopost,7.97,881,5
100012,P024,Nantes,Nice,2025-02-03,Express,GLS,13.58,795,4
100013,P003,Strasbourg,Toulouse,2024-10-30,Standard,UPS,6.38,359,3
100014,P022,Paris,Toulouse,2024-12-30,Express,Colissimo,6.26,924,4
100015,P053,Lyon,Toulouse,2025-02-09,Standard,GLS,3.88,153,1
100016,P002,Strasbourg,Lyon,2024-11-10,Express,Colissimo,15.32,872,5
100017,P088,Lyon,Toulouse,2024-12-20,Standard,Chronopost,7.49,192,2
100018,P030,Lyon,Lyon,2025-01-13,Express,DHL,0.64,809,3
100019,P038,Lyon,Marseille,2024-11-27,Standard,UPS,2.57,634,3
100020,P002,Nantes,Nice,2024-09-18,Standard,Colissimo,5.99,816,4
100021,P064,Lyon,Bordeaux,2025-03-05,Standard,DHL,3.77,733,4
100022,P060,Rouen,Toulouse,2024-06-28,Standard,GLS,18.65,860,5
100023,P021,Paris,Toulouse,2025-02-14,Standard,Colissimo,4.73,79,2
100024,P033,Lyon,Paris,2025-02-25,Express,GLS,0.39,246,1
100025,P076,Nantes,Marseille,2024-10-02,Standard,Colissimo,9.47,589,4
100026,P058,Lyon,Marseille,2024-12-02,Express,UPS,4.67,733,3
100027,P022,Paris,Paris,2025-04-29,Express,Chronopost,10.81,203,2
100028,P089,Lille,Nice,2025-01-07,Standard,UPS,18.53,561,5
100029,P049,Lille,Paris,2024-09-24,Standard,Colissimo,9.56,386,3
100030,P091,Strasbourg,Marseille,2025-05-18,Standard,GLS,11.42,398,3
100031,P059,Nantes,Lyon,2025-05-10,Express,DHL,16.7,532,3
100032,P042,Nantes,Lyon,2025-03-05,Express,GLS,4.03,557,3
100033,P092,Nantes,Lyon,2024-10-09,Standard,UPS,18.85,652,6
100034,P060,Lyon,Lyon,2024-08-08,Express,Chronopost,1.75,406,1
100035,P080,Paris,Marseille,2024-09-10,Express,Colissimo,11.76,323,2
100036,P015,Paris,Paris,2024-10-16,Express,UPS,18.77,520,3
100037,P062,Paris,Bordeaux,2025-02-23,Express,GLS,15.92,843,4
100038,P062,Lille,Toulouse,2024-07-17,Express,DHL,12.24,767,4
100039,P047,Paris,Paris,2024-08-14,Standard,Colissimo,6.42,343,2
100040,P062,Nantes,Paris,2024-07-29,Express,DHL,15.6,149,2
100041,P051,Lyon,Lyon,2024-09-27,Standard,UPS,6.66,794,4
100042,P055,Lille,Marseille,2024-06-22,Standard,DHL,2.03,112,2
100043,P064,Strasbourg,Paris,2025-01-15,Express,UPS,16.24,749,4
100044,P003,Lyon,Toulouse,2024-06-20,Standard,GLS,11.66,669,5
100045,P051,Rouen,Lyon,2025-06-01,Standard,UPS,5.56,724,4
100046,P007,Nantes,Toulouse,2024-10-05,Express,UPS,15.69,850,4
100047,P021,Lille,Paris,2024-10-04,Standard,Chronopost,10.63,194,2
100048,P073,Nantes,Toulouse,2024-08-19,Standard,UPS,15.93,551,4
100049,P039,Lyon,Nice,2025-03-18,Express,Colissimo,10.64,925,4
100050,P018,Paris,Nice,2025-01-27,Express,UPS,16.69,800,4
100051,P004,Rouen,Paris,2024-11-01,Standard,UPS,15.13,956,6
100052,P089,Nantes,Bordeaux,2024-06-27,Express,GLS,14.49,801,4
100053,P060,Rouen,Toulouse,2025-06-10,Express,GLS,14.68,118,2
100054,P014,Lyon,Toulouse,2025-04-22,Express,UPS,16.91,271,3
100055,P009,Nantes,Lyon,2025-04-16,Standard,Chronopost,10.01,201,4
100056,P090,Paris,Nice,2025-05-31,Standard,UPS,14.17,880,5
100057,P053,Rouen,Bordeaux,2024-09-13,Standard,DHL,4.96,131,2
100058,P002,Lille,Nice,2024-11-21,Standard,DHL,19.77,122,3
100059,P084,Strasbourg,Paris,2024-10-02,Standard,UPS,14.86,90,3
100060,P092,Lyon,Nice,2024-11-05,Express,Chronopost,9.13,872,5
100061,P060,Nantes,Nice,2025-06-01,Standard,Chronopost,9.93,415,3
100062,P071,Lille,Nice,2024-12-03,Standard,Chronopost,6.64,554,2
100063,P044,Paris,Toulouse,2025-02-20,Standard,Colissimo,14.88,805,6
100064,P008,Paris,Toulouse,2024-06-21,Express,GLS,1.37,595,2
100065,P047,Rouen,Bordeaux,2025-04-27,Standard,GLS,19.93,688,5
100066,P035,Lyon,Lyon,2024-12-20,Express,UPS,4.31,410,1
100067,P078,Strasbourg,Nice,2024-07-18,Standard,Colissimo,12.3,350,4
100068,P081,Nantes,Paris,2024-10-02,Express,Colissimo,5.27,329,2
100069,P036,Lille,Nice,2024-08-17,Standard,UPS,1.77,841,4
100070,P050,Nantes,Bordeaux,2024-06-20,Express,GLS,1.34,335,1
100071,P004,Lille,Bordeaux,2024-09-09,Express,Colissimo,1.1,680,3
100072,P002,Lyon,Nice,2024-07-22,Express,DHL,2.9,845,2
100073,P006,Paris,Paris,2025-05-27,Express,Chronopost,17.88,528,4
100074,P054,Paris,Paris,2025-02-17,Standard,Colissimo,1.47,640,3
100075,P004,Nantes,Marseille,2024-12-07,Express,DHL,5.5,436,3
100076,P054,Nantes,Bordeaux,2024-11-21,Standard,UPS,8.95,185,4
100077,P093,Rouen,Lyon,2025-01-15,Standard,UPS,10.27,601,4
100078,P063,Lille,Paris,2024-06-18,Express,Chronopost,15.09,231,2
100079,P018,Rouen,Lyon,2025-06-02,Express,UPS,1.97,146,0
100080,P090,Lille,Marseille,2025-02-09,Express,DHL,6.26,687,3
100081,P044,Lyon,Nice,2024-11-18,Standard,GLS,10.85,820,6
100082,P034,Nantes,Nice,2025-05-10,Standard,Colissimo,10.81,721,4
100083,P074,Strasbourg,Paris,2024-10-24,Express,Chronopost,3.93,429,1
100084,P062,Lille,Marseille,2024-10-12,Express,DHL,4.8,351,1
100085,P100,Paris,Paris,2024-11-04,Express,DHL,19.72,81,2
100086,P014,Lyon,Lyon,2025-02-20,Standard,DHL,0.2,941,4
100087,P095,Paris,Bordeaux,2025-04-21,Standard,Chronopost,14.7,554,4
100088,P048,Lyon,Lyon,2024-10-01,Standard,Chronopost,11.69,267,3
100089,P015,Lille,Bordeaux,2025-05-14,Express,Chronopost,7.91,583,3
100090,P072,Paris,Marseille,2025-01-12,Express,DHL,6.38,99,0
100091,P078,Strasbourg,Bordeaux,2024-06-17,Express,GLS,2.65,407,1
100092,P087,Strasbourg,Bordeaux,2024-10-25,Standard,Chronopost,8.84,400,2
100093,P062,Lille,Toulouse,2025-01-05,Express,Chronopost,14.17,984,5
100094,P040,Rouen,Nice,2025-02-28,Standard,Chronopost,4.65,511,3
100095,P085,Lyon,Marseille,2025-02-08,Standard,Chronopost,18.89,492,5
100096,P080,Nantes,Bordeaux,2025-01-06,Express,GLS,12.99,891,4
100097,P082,Paris,Bordeaux,2024-09-15,Standard,Chronopost,5.37,134,1
100098,P053,Strasbourg,Marseille,2024-06-28,Express,GLS,14.5,695,4
100099,P024,Lille,Paris,2025-01-18,Standard,GLS,1.85,184,2
100100,P026,Paris,Bordeaux,2024-12-05,Standard,DHL,15.55,224,4
100101,P089,Lille,Lyon,2025-04-01,Express,GLS,10.96,703,2
100102,P060,Rouen,Lyon,2024-11-01,Standard,UPS,3.9,438,3
100103,P041,Nantes,Toulouse,2024-08-15,Standard,Chronopost,3.51,565,3
100104,P029,Paris,Paris,2024-10-18,Express,DHL,14.41,741,4
100105,P015,Paris,Marseille,2025-04-21,Standard,UPS,16.14,490,4
100106,P045,Lille,Nice,2025-03-18,Express,UPS,11.97,330,3
100107,P065,Lille,Marseille,2024-09-30,Express,Colissimo,13.75,875,3
100108,P089,Paris,Paris,2024-12-06,Express,Colissimo,7.15,327,1
100109,P071,Strasbourg,Toulouse,2024-09-06,Express,GLS,10.59,194,2
100110,P009,Rouen,Marseille,2025-03-19,Standard,GLS,9.67,642,4
100111,P088,Paris,Paris,2024-07-23,Express,GLS,3.43,851,3
100112,P001,Lyon,Nice,2024-10-03,Standard,Colissimo,14.53,928,6
100113,P008,Strasbourg,Bordeaux,2025-01-13,Express,Colissimo,18.09,652,5
100114,P088,Lyon,Bordeaux,2024-10-05,Express,Chronopost,4.58,359,1
100115,P063,Paris,Paris,2025-02-17,Standard,Colissimo,8.17,361,2
100116,P011,Rouen,Lyon,2024-07-10,Standard,GLS,18.82,556,6
100117,P081,Strasbourg,Lyon,2025-02-16,Standard,UPS,18.63,421,4
100118,P008,Lille,Marseille,2024-12-15,Standard,Chronopost,9.47,471,3
100119,P035,Strasbourg,Toulouse,2024-10-22,Standard,Chronopost,14.85,145,3
100120,P035,Lille,Marseille,2024-12-22,Express,UPS,5.34,663,3
100121,P033,Paris,Nice,2025-01-22,Express,Chronopost,12.66,936,5
100122,P005,Nantes,Paris,2024-07-24,Express,Chronopost,10.55,562,2
100123,P041,Lille,Lyon,2024-06-17,Express,UPS,10.46,820,4
100124,P028,Lyon,Toulouse,2024-07-14,Standard,Colissimo,2.73,639,3
100125,P007,Lyon,Toulouse,2024-09-04,Standard,Chronopost,6.78,702,4
100126,P073,Nantes,Marseille,2025-03-13,Standard,DHL,15.5,962,6
100127,P072,Nantes,Toulouse,2024-08-12,Standard,Colissimo,11.39,112,1
100128,P012,Lyon,Bordeaux,2024-11-30,Express,DHL,2.95,306,2
100129,P034,Paris,Bordeaux,2024-12-16,Express,DHL,14.97,162,2
100130,P033,Paris,Bordeaux,2024-11-24,Standard,Colissimo,6.84,872,5
100131,P048,Paris,Paris,2025-02-20,Express,Chronopost,5.58,702,2
100132,P023,Lyon,Paris,2024-08-02,Standard,GLS,7.81,988,5
100133,P062,Nantes,Lyon,2024-12-20,Express,UPS,9.7,356,3
100134,P088,Rouen,Bordeaux,2024-11-14,Standard,Colissimo,12.79,641,4
100135,P037,Lyon,Toulouse,2025-06-04,Express,GLS,8.47,567,3
100136,P099,Lyon,Toulouse,2024-12-04,Express,GLS,13.5,313,3
100137,P044,Lille,Bordeaux,2025-02-14,Express,GLS,16.87,524,3
100138,P086,Paris,Nice,2025-05-07,Standard,UPS,14.27,753,4
100139,P091,Lille,Marseille,2025-04-12,Standard,DHL,11.99,312,3
100140,P035,Strasbourg,Toulouse,2025-01-20,Standard,DHL,14.77,950,6
100141,P065,Strasbourg,Bordeaux,2024-12-30,Express,GLS,13.75,814,4
100142,P099,Lyon,Marseille,2024-10-25,Express,UPS,4.56,565,1
100143,P047,Strasbourg,Paris,2025-06-06,Standard,Colissimo,10.02,918,5
100144,P078,Lyon,Toulouse,2024-07-16,Standard,GLS,5.28,765,4
100145,P003,Lyon,Paris,2025-05-18,Express,DHL,19.39,775,4
100146,P001,Rouen,Marseille,2024-11-14,Express,Chronopost,14.63,273,2
100147,P005,Lille,Lyon,2024-07-28,Standard,Chronopost,6.21,428,3
100148,P090,Nantes,Nice,2024-06-21,Express,UPS,0.28,985,4
100149,P014,Paris,Lyon,2025-01-30,Standard,UPS,5.0,952,5
100150,P027,Paris,Bordeaux,2024-12-24,Standard,DHL,18.68,776,6
100151,P009,Rouen,Marseille,2025-01-10,Express,Colissimo,19.68,51,2
100152,P079,Lille,Nice,2024-06-24,Express,Colissimo,1.01,671,2
100153,P015,Paris,Nice,2024-10-05,Express,DHL,12.21,844,3
100154,P090,Lyon,Bordeaux,2024-06-30,Standard,UPS,12.1,753,4
100155,P042,Lille,Marseille,2024-12-05,Standard,DHL,6.8,124,1
100156,P077,Strasbourg,Lyon,2024-09-24,Express,GLS,11.3,279,2
100157,P051,Paris,Marseille,2024-08-20,Express,DHL,17.06,921,5
100158,P063,Lille,Nice,2025-01-03,Express,Colissimo,3.5,729,3
